job_id,submit_time,runtime_min,norm_cpu_seconds,cores_used
226803343,2026-03-01 10:47:14,1.172,1541.918,1
226792723,2026-03-01 08:46:02,133.361,279755.073,1
226801521,2026-03-01 10:32:15,16.338,24188.109,1
226802951,2026-03-01 10:43:04,4.677,4367.32,1
226803222,2026-03-01 10:46:23,1.006,1461.625,1
226801793,2026-03-01 10:34:22,13.013,21171.158,1
226803404,2026-03-01 10:47:41,1.51,2393.95,1
226803254,2026-03-01 10:46:37,2.842,4113.4,1
226801818,2026-03-01 10:34:32,12.525,26063.755,1
226801153,2026-03-01 10:29:36,19.84,19678.509,1
226803240,2026-03-01 10:46:31,1.34,1834.868,1
226801670,2026-03-01 10:33:23,13.18,20926.78,1
226803248,2026-03-01 10:46:35,1.674,2084.752,1
226801422,2026-03-01 10:31:32,17.017,25816.606,1
226801635,2026-03-01 10:33:06,14.177,19456.665,1
226801656,2026-03-01 10:33:16,14.188,30025.485,1
226801843,2026-03-01 10:34:43,12.518,26377.464,1
226803013,2026-03-01 10:44:46,2.675,4379.259,1
226801364,2026-03-01 10:31:08,19.184,17531.562,1
226801549,2026-03-01 10:32:28,13.679,20360.869,1
226803354,2026-03-01 10:47:19,1.016,1852.928,1
226801752,2026-03-01 10:34:03,12.505,21575.88,1
226801551,2026-03-01 10:32:29,15.84,19590.888,1
226801275,2026-03-01 10:30:30,18.673,18009.008,1
226801782,2026-03-01 10:34:17,13.339,19778.118,1
226801262,2026-03-01 10:30:25,19.176,18356.52,1
226801540,2026-03-01 10:32:24,16.179,15600.567,1
226803426,2026-03-01 10:47:52,1.342,1432.37,1
226803074,2026-03-01 10:45:15,3.188,4734.078,1
226801645,2026-03-01 10:33:11,15.009,18412.385,1
226803114,2026-03-01 10:45:35,3.505,4067.264,1
226801912,2026-03-01 10:35:14,12.673,18335.52,1
226801917,2026-03-01 10:35:15,12.352,26330.855,1
226803062,2026-03-01 10:45:11,3.844,4334.659,1
226801774,2026-03-01 10:34:13,13.847,17950.725,1
226801767,2026-03-01 10:34:10,14.514,20537.538,1
226792891,2026-03-01 08:50:09,129.522,277791.532,1
226801833,2026-03-01 10:34:38,12.855,27205.02,1
226803411,2026-03-01 10:47:45,1.172,1608.277,1
226803135,2026-03-01 10:45:45,3.673,4441.263,1
226801746,2026-03-01 10:34:00,13.841,18889.543,1
226801863,2026-03-01 10:34:53,13.183,20684.84,1
226801717,2026-03-01 10:33:47,13.838,18055.641,1
226801338,2026-03-01 10:30:57,19.345,20003.284,1
226803320,2026-03-01 10:47:05,1.017,1782.62,1
226803250,2026-03-01 10:46:35,2.69,5243.448,1
226803270,2026-03-01 10:46:44,1.518,2739.774,1
226803379,2026-03-01 10:47:31,1.341,1438.899,1
226801319,2026-03-01 10:30:50,19.676,19044.682,1
226801539,2026-03-01 10:32:24,16.839,15024.6,1
226803440,2026-03-01 10:47:59,1.179,1574.365,1
226802251,2026-03-01 10:37:44,9.339,17002.57,1
226801312,2026-03-01 10:30:47,19.515,18909.072,1
226803172,2026-03-01 10:46:02,3.348,4287.128,1
226803330,2026-03-01 10:47:09,1.679,1410.728,1
226801755,2026-03-01 10:34:03,14.839,19371.52,1
226803373,2026-03-01 10:47:27,1.673,1448.28,1
226801777,2026-03-01 10:34:15,13.674,20606.313,1
226801365,2026-03-01 10:31:08,19.174,19485.2,1
226803115,2026-03-01 10:45:35,3.673,4041.375,1
226801627,2026-03-01 10:33:02,16.178,18788.0,1
226801857,2026-03-01 10:34:49,12.023,22802.235,1
226801918,2026-03-01 10:35:15,12.027,24988.164,1
226801698,2026-03-01 10:33:38,14.84,17541.645,1
226801502,2026-03-01 10:32:06,15.013,18977.092,1
226801883,2026-03-01 10:35:02,12.353,26102.632,1
226801595,2026-03-01 10:32:48,15.839,18529.056,1
226801676,2026-03-01 10:33:26,15.339,19440.432,1
226801784,2026-03-01 10:34:17,12.525,20844.082,1
226801563,2026-03-01 10:32:35,16.341,25456.2,1
226801961,2026-03-01 10:35:34,11.843,21443.336,1
226801984,2026-03-01 10:35:45,11.675,20801.0,1
226801277,2026-03-01 10:30:32,19.506,18954.5,1
226803286,2026-03-01 10:46:51,1.339,1550.634,1
226803073,2026-03-01 10:45:15,3.839,4789.292,1
226801651,2026-03-01 10:33:15,15.518,27254.948,1
226801991,2026-03-01 10:35:49,12.189,25303.393,1
226801909,2026-03-01 10:35:12,13.181,20812.799,1
226802855,2026-03-01 10:41:54,4.51,5803.906,1
226801890,2026-03-01 10:35:04,12.353,24905.466,1
226797455,2026-03-01 09:56:54,62.846,61964.784,1
226794611,2026-03-01 09:15:02,105.185,169269.595,1
226801356,2026-03-01 10:31:05,19.172,17740.32,1
226801703,2026-03-01 10:33:40,15.005,20428.485,1
226801397,2026-03-01 10:31:21,19.34,18340.597,1
226802923,2026-03-01 10:42:33,4.673,5366.8,1
226801779,2026-03-01 10:34:15,14.008,19028.408,1
226803125,2026-03-01 10:45:40,2.841,4460.632,1
226803219,2026-03-01 10:46:21,2.673,3613.75,1
226803403,2026-03-01 10:47:41,1.354,2379.448,1
226802011,2026-03-01 10:35:57,12.021,25196.968,1
226801866,2026-03-01 10:34:53,12.672,21207.758,1
226801695,2026-03-01 10:33:37,14.839,24094.4,1
226803235,2026-03-01 10:46:28,2.674,4276.512,1
226801313,2026-03-01 10:30:48,19.507,20927.976,1
226801476,2026-03-01 10:31:55,16.339,19432.36,1
226803302,2026-03-01 10:46:57,1.354,2407.984,1
